id;activite_soumise;adresse;nom;dep;bar_tabac;bureau_tabac;cave_cigare;tabac_presse;services;telephone;dep_name
31;buraliste;70 AVENUE KLBER 75116 PARIS VOIR LE PLAN;LE CORONA IMPÉRIAL;75;0;1;1;0;bar & cigares & brasserie & cigarettes électroniques & fdj & carte téléphonique & cave à cigares & pile & ;01 45 53 74 38;Paris
32;buraliste;2 RUE JOUFFROY DABBANS 75017 PARIS VOIR LE PLAN;A JEAN BART;75;0;1;0;0;"";01 47 63 23 46;Paris
33;buraliste;18 AVENUE CLICHY 75018 PARIS VOIR LE PLAN;XUYINGYING;75;0;1;0;0;bar & cigares & fdj & cigarettes électroniques & pmu & tabac à pipe & ticket de transport & articles pour fumeurs & ;09 60 44 38 19;Paris
34;buraliste;59 AVENUE VICTOR HUGO 75116 PARIS VOIR LE PLAN;MAISON LEMAIRE;75;0;1;1;0;cave à cigares & tabac à pipe & articles pour fumeurs & stylo & ;01 45 00 75 63;Paris
35;buraliste;21 AVENUE LEDRU ROLLIN 75012 PARIS VOIR LE PLAN;CAFE DE LA SEINE;75;0;1;0;0;"";01 43 43 04 83;Paris
36;buraliste;45 RUE RAUMUR 75003 PARIS VOIR LE PLAN;TABAC DES ARTS;75;0;1;0;0;"";09 53 52 18 69;Paris
37;buraliste;2 RUE FRDRIC SCHNEIDER 75018 PARIS VOIR LE PLAN;POINT PRESSE;75;0;1;0;1;fdj & presse & ticket de transport & cigares & papeterie & carte d'anniversaire & carte postale & carte téléphonique & ;01 42 54 52 98;Paris
38;buraliste;41 RUE LINN 75005 PARIS VOIR LE PLAN;THAI HIEP NGUYEN;75;0;1;0;0;bar & cigares & fdj & cigarettes électroniques & tabac à pipe & articles pour fumeurs & articles pour vapoteurs & timbre poste & ;01 43 54 57 38;Paris
39;buraliste;65 BOULEVARD KELLERMANN 75013 PARIS VOIR LE PLAN;TABAC STORE 65;75;0;1;0;0;"";01 48 78 28 93;Paris
40;buraliste;5 60 RUE REN BOULANGER 75010 PARIS VOIR LE PLAN;THURAIRAJAH SATHEESKUMAR;75;1;1;0;0;fdj & tabac à pipe & bar-tabac & cigarettes électroniques & jeux de grattage & loto & briquet & articles pour fumeurs & ;01 42 39 64 94;Paris
